red_izo,CJ UZ Z,AJ UZ Z,CJ PP Z,AJ PP Z,MA DT Z,CJ DT Z,AJ DT Z,www,adresa,nazev_plny,red_naz,KODOK,NAZOK,NAZKR
600004589,65.6,86.2,79.1,77.3,85.0,87.0,88.6,www.gjn.cz,"Hellichova 3, Praha 1","Gymnázium Jana Nerudy, škola hlavního města Prahy, Praha 1, Hellichova 3",Gymnázium Jana Nerudy,3100,Hlavní město Praha,Hlavní město Praha
600004708,46.9,65.2,70.9,44.8,78.0,76.0,78.0,www.agstepanska.cz,"Štěpánská 22, Praha 1","Akademické gymnázium, škola hlavního města Prahy, Praha 1, Štěpánská 22",Akademické gymnázium,3100,Hlavní město Praha,Hlavní město Praha
600005615,54.4,37.4,37.7,46.2,,31.3,52.0,www.ssosum.cz,"Senovážné nám. 23, Praha 1","Soukromá střední odborná škola umění a managementu, s.r.o.",Soukr. SOŠ umění a managementu s.r.o.,3100,Hlavní město Praha,Hlavní město Praha
600004686,35.7,80.5,35.4,52.3,55.1,63.4,71.4,www.betlemska.cz,"Betlémská 4, Praha 1","Střední průmyslová škola strojnická, škola hlavního města Prahy, Praha 1, Betlémská 4/287","SPŠ strojnická, škola hl.m. Prahy",3100,Hlavní město Praha,Hlavní město Praha
651037026,43.1,73.6,57.6,55.3,,74.7,77.7,www.gymamazon.cz,"Rytířská 406, Praha 1",Anglicko-české gymnázium AMAZON s.r.o.,Anglicko-české gymnázium AMAZON s.r.o.,3100,Hlavní město Praha,Hlavní město Praha
600020711,,,,,,,,www.divciskola.cz,"Platnéřská 4, Praha 1",Dívčí katolická střední škola,Dívčí katolická střední škola,3100,Hlavní město Praha,Hlavní město Praha
600004546,46.5,54.4,69.7,61.2,89.8,80.4,80.5,www.truhla.cz,"Truhlářská 22, Praha 1","Gymnázium Jiřího Gutha-Jarkovského, Praha 1, Truhlářská 22",Gymnázium J.G.Jarkovského,3100,Hlavní město Praha,Hlavní město Praha
600004635,40.4,58.1,68.8,60.5,73.5,68.2,78.3,www.gjp1.cz,"Pštrossova 13, Praha 1","GYMNÁZIUM JANA PALACHA PRAHA 1, s.r.o.","GYMNÁZIUM JANA PALACHA PRAHA 1, s.r.o.",3100,Hlavní město Praha,Hlavní město Praha
600004694,50.9,65.8,43.2,62.2,70.7,70.1,66.2,www.gpjp.cz,"Jindřišská  36, Praha 1","Gymnázium prof. Jana Patočky, Praha 1, Jindřišská 36",Gymnázium prof. J. Patočky,3100,Hlavní město Praha,Hlavní město Praha
600020738,23.8,44.7,0.0,63.0,,45.3,52.5,www.kjd.cz,"Maltézské nám. 14, Praha 1","Konzervatoř Jana Deyla a střední škola pro zrakově postižené, Praha 1, Maltézské nám. 14",Konzervatoř J.Deyla a SŠ pro zrak.post.,3100,Hlavní město Praha,Hlavní město Praha
600004597,52.2,68.3,87.9,76.4,82.6,85.8,83.7,www.malgym.cz,"Josefská 7, Praha 1","Malostranské gymnázium, Praha 1, Josefská 7",Malostranské gymnázium,3100,Hlavní město Praha,Hlavní město Praha
600004678,28.0,60.4,37.0,69.5,62.9,56.1,58.9,www.mssch.cz,"Křemencova 12, Praha 1","Masarykova střední škola chemická, Praha 1, Křemencova 12",Masarykova střední škola chemická,3100,Hlavní město Praha,Hlavní město Praha
600004520,35.8,50.6,52.9,71.3,61.8,58.3,58.9,www.oadusni.cz,"Dušní 7, Praha 1","Obchodní akademie, Praha 1, Dušní 7",Obchodní akademie,3100,Hlavní město Praha,Hlavní město Praha
600004554,46.4,57.2,53.3,52.7,68.8,59.3,69.0,www.panska.cz,"Panská 3, Praha 1","Střední průmyslová škola sdělovací techniky, Praha 1, Panská 3",SPŠ sdělovací techniky,3100,Hlavní město Praha,Hlavní město Praha
600020746,,,,,,,,www.skolajj.cz,"Loretánská 19 a 17, Praha 1","Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17","Škola J.Ježka,MŠ,ZŠ,PrŠ a ZUŠ pro ZP",3100,Hlavní město Praha,Hlavní město Praha
600004643,40.3,46.2,46.3,44.5,39.2,44.0,58.8,www.spsdmasna.cz,"Masná 18, Praha 1","Vyšší odborná škola a Střední průmyslová škola dopravní, Praha 1, Masná 18",VOŠ a SPŠ dopravní,3100,Hlavní město Praha,Hlavní město Praha
600020151,28.5,59.8,24.9,65.5,68.2,48.4,49.9,www.vosaspsekrizik.cz,"Na Příkopě 16, Praha 1","Vyšší odborná škola a Střední průmyslová škola elektrotechnická Františka Křižíka, Praha 1, Na Příkopě 16",VOŠ a SPŠ elektrotechnická Fr. Křižíka,3100,Hlavní město Praha,Hlavní město Praha
600004562,39.6,66.8,50.3,63.7,50.6,64.3,62.1,http://www.graficka-praha.cz/,"Hellichova 22, Praha 1","Vyšší odborná škola grafická a Střední průmyslová škola grafická, Praha 1, Hellichova 22",VOŠ a SPŠ grafická,3100,Hlavní město Praha,Hlavní město Praha
600004619,49.9,72.6,52.9,60.4,52.2,48.2,54.3,www.spsdusni.cz,"Dušní 17, Praha 1","Vyšší odborná škola stavební a Střední průmyslová škola stavební, Praha 1, Dušní 17",VOŠ stavební a SPŠ stavební,3100,Hlavní město Praha,Hlavní město Praha
600004627,54.9,65.4,52.4,54.4,,42.8,57.0,www.textilniskola.cz,"U Půjčovny 9, Praha 1","Vyšší odborná škola textilních řemesel a Střední umělecká škola textilních řemesel, Praha 1, U Půjčovny 9",VOŠ text.řem. a Stř.uměl.škola text.řem.,3100,Hlavní město Praha,Hlavní město Praha
600020665,45.9,38.5,32.7,43.1,40.7,38.4,37.4,www.szspraha1.cz,"Alšovo nábřeží 6, Praha 1","Vyšší odborná škola zdravotnická a Střední zdravotnická škola, Praha 1, Alšovo nábřeží 6",VOŠ zdravotnická a Střední zdrav.škola,3100,Hlavní město Praha,Hlavní město Praha
600020720,,,,,,,,,"Josefská 4, Praha 1","Základní škola praktická a Praktická škola Karla Herforta, fakultní škola Pedagogické fakulty UK, Praha 1, Josefská 4",ZŠ prakt. a Praktická škola K. Herforta,3100,Hlavní město Praha,Hlavní město Praha
600004791,67.7,72.6,85.4,67.0,86.5,90.0,83.5,www.arcig.cz,"Korunní 2, Praha 2",Arcibiskupské gymnázium,Arcibiskupské gymnázium,3100,Hlavní město Praha,Hlavní město Praha
600019454,25.0,34.2,27.4,31.9,,50.2,31.3,www.skolajecna.cz,"Ječná 33, Praha 2",Církevní střední zdravotnická škola Jana Pavla II.,Církevní střední zdravotnická škola,3100,Hlavní město Praha,Hlavní město Praha
600004759,37.0,45.7,53.5,45.2,53.9,56.9,57.5,www.cao8.cz,"Resslova 8, Praha 2","Českoslovanská akademie obchodní Dr. Edvarda Beneše, střední odborná škola, Praha 2, Resslova 8","Českoslovanská AO Dr. E. Beneše, SOŠ",3100,Hlavní město Praha,Hlavní město Praha
600004830,35.1,42.7,38.0,49.2,54.4,55.6,43.4,http://www.cao.cz,"Resslova 5, Praha 2","Českoslovanská akademie obchodní, střední odborná škola, Praha 2, Resslova 5","Českoslovanská AO, SOŠ",3100,Hlavní město Praha,Hlavní město Praha
600020797,,,,,,,,www.jecna27.cz,"Ječná 27, Praha 2","Gymnázium, Střední odborná škola, Základní škola a Mateřská škola pro sluchově postižené, Praha 2, Ječná 27","Gymn., SOŠ, ZŠ a MŠ pro sluch. postižené",3100,Hlavní město Praha,Hlavní město Praha
651027349,40.5,62.3,61.4,76.8,,71.8,76.7,www.sazavska.cz,"Sázavská 830, Praha 2",Gymnázium Sázavská s.r.o.,Gymnázium Sázavská s.r.o.,3100,Hlavní město Praha,Hlavní město Praha
600004724,44.7,50.0,52.0,62.2,80.6,80.6,68.1,www.gybot.cz,"Botičská 1, Praha 2","Gymnázium, Praha 2, Botičská 1",Gymnázium,3100,Hlavní město Praha,Hlavní město Praha
600027341,,,,,,,,www.jus.cz,"V Pevnosti 4, Praha 2",Jedličkův ústav a Mateřská škola a Základní škola a Střední škola,"Jedličkův ústav a MŠ, ZŠ a Střední škola",3100,Hlavní město Praha,Hlavní město Praha
610380061,48.0,75.3,79.3,72.3,73.5,93.1,89.2,www.lauder.cz,"Belgická 25, Praha 2","Lauderova mateřská škola, základní škola a gymnázium při Židovské obci v Praze","Lauderova MŠ,ZŠ a gymnázium při Žid.obci",3100,Hlavní město Praha,Hlavní město Praha
600004813,43.3,36.8,40.8,35.4,30.6,39.3,41.9,,"Ječná 30, Praha 2","Obchodní akademie, ŠKOLA 2000, s.r.o.","Obchodní akademie, ŠKOLA 2000, s.r.o.",3100,Hlavní město Praha,Hlavní město Praha
600004775,35.9,46.0,50.2,54.4,51.2,47.1,49.0,www.oavin.cz,"Vinohradská 38, Praha 2","Obchodní akademie, Praha 2, Vinohradská 38",Obchodní akademie,3100,Hlavní město Praha,Hlavní město Praha
600020827,,,,,,,,www.ouvysehrad.cz,"Vratislavova 6, Praha 2",Odborné učiliště Vyšehrad,Odborné učiliště Vyšehrad,3100,Hlavní město Praha,Hlavní město Praha
600004902,24.6,39.1,28.9,34.2,33.3,37.2,34.4,www.skolajecna.unas.cz,"Ječná 33, Praha 2",Střední odborná škola sociální svaté Zdislavy,SOŠ sociální svaté Zdislavy,3100,Hlavní město Praha,Hlavní město Praha
600004864,43.1,35.2,31.1,32.9,26.9,37.7,46.4,souobelgicka.cz,"Belgická 29, Praha 2","Střední odborné učiliště obchodní, Praha 2, Belgická 29",SOU obchodní,3100,Hlavní město Praha,Hlavní město Praha
600005321,25.7,26.6,50.0,27.4,59.7,33.0,41.5,www.ssouk.cz,"Korunní 586, Praha 2","Soukromé střední odborné učiliště kadeřnické Praha 2, s.r.o.","Soukr. SOU kadeřnické Praha 2, s.r.o.",3100,Hlavní město Praha,Hlavní město Praha
600004783,35.3,52.2,39.3,50.6,68.2,53.0,71.4,www.spsejecna.cz,"Ječná 30, Praha 2","Střední průmyslová škola elektrotechnická, Praha 2, Ječná 30",SPŠ elektrotechnická,3100,Hlavní město Praha,Hlavní město Praha
600004848,31.6,43.2,28.1,47.4,35.6,61.6,63.0,www.sses.cz,"Vinohradská 38, Praha 2","Střední škola ekonomická se sportovním zaměřením, s.r.o.",SŠ ekonom. se sport. zaměřením s.r.o.,3100,Hlavní město Praha,Hlavní město Praha
600004856,38.3,38.4,36.9,33.9,49.5,40.1,43.9,www.podskalska.cz,"Podskalská 10, Praha 2","Vyšší odborná škola ekonomických studií a Střední průmyslová škola potravinářských technologií, Praha 2, Podskalská 10",VOŠ ekonom.studií a SPŠ potrav.technol.,3100,Hlavní město Praha,Hlavní město Praha
600020789,,,,,,,,http://www.skolavinohradska.cz,"Vinohradská 54, Praha 2","Základní škola a Střední škola, Praha 2, Vinohradská 54",Základní škola a Střední škola,3100,Hlavní město Praha,Hlavní město Praha
600020819,,,,,,,,specou.cz,"Chelčického 911, Praha 3","Odborné učiliště pro žáky s více vadami, s.r.o.","OU pro žáky s více vadami, s.r.o.",3100,Hlavní město Praha,Hlavní město Praha
600006425,18.1,46.2,27.3,39.6,42.4,23.0,70.4,www.skola-profit.cz,"Žerotínova 1100, Praha 3","Střední odborná škola podnikatelská PROFIT, spol. s r.o.","SOŠ podnikatelská PROFIT, s.r.o.",3100,Hlavní město Praha,Hlavní město Praha
600004996,31.2,54.3,45.9,74.0,61.1,64.5,69.4,www.bankovniakademie.cz,"Vlkova 12, Praha 3","BANKOVNÍ AKADEMIE - Gymnázium, Střední odborná škola a Vyšší odborná škola, a.s.","BANK.AKADEMIE-Gymnázium, SOŠ a VOŠ a.s.",3100,Hlavní město Praha,Hlavní město Praha
600001873,60.4,76.4,75.9,68.8,76.8,85.8,80.4,www.gmhs.cz,"Komenského náměstí 400, Praha 3","Gymnázium a Hudební škola hlavního města Prahy, základní umělecká škola","Gymnázium a Hudební škola hl.m.Prahy,ZUŠ",3100,Hlavní město Praha,Hlavní město Praha
600004911,55.5,63.6,50.0,76.2,78.1,74.3,79.5,www.gykas.cz,"Sladkovského náměstí 8, Praha 3","Gymnázium Karla Sladkovského, Praha 3, Sladkovského náměstí 8",Gymnázium Karla Sladkovského,3100,Hlavní město Praha,Hlavní město Praha
600004961,47.3,66.4,75.0,77.6,79.5,84.2,69.2,www.gym-prazacka.cz,"Nad Ohradou 2825, Praha 3","Gymnázium Na Pražačce, Praha 3, Nad Ohradou 23",Gymnázium Na Pražačce,3100,Hlavní město Praha,Hlavní město Praha
600004929,38.9,55.8,38.4,41.2,39.9,43.7,41.4,www.oa-kubelikova.cz,"Kubelíkova  37, Praha 3","Obchodní akademie, Praha 3, Kubelíkova 37",Obchodní akademie,3100,Hlavní město Praha,Hlavní město Praha
600005941,38.7,51.3,37.5,44.9,46.8,44.2,48.2,www.oahovorcovicka.cz,"U Vinohradského hřbitova 3, Praha 3",Obchodní akademie Hovorčovická,Obchodní akademie,3100,Hlavní město Praha,Hlavní město Praha
600005003,46.8,38.5,62.7,48.4,,62.2,44.3,www.sskk.cz,"K Lučinám 2500, Praha 3","Střední škola knižní kultury, o.p.s.","Střední škola knižní kultury, o.p.s.",3100,Hlavní město Praha,Hlavní město Praha
600004970,50.3,51.3,57.7,49.5,,55.7,63.4,www.hollarka.cz,"Hollarovo náměstí 2, Praha 3","Vyšší odborná škola a Střední umělecká škola Václava Hollara, Praha 3, Hollarovo náměstí 2",VOŠ a Střední umělecká škola V. Hollara,3100,Hlavní město Praha,Hlavní město Praha
600004945,35.8,64.3,50.1,43.2,34.2,48.6,42.8,www.sups.cz,"Žižkovo náměstí 1, Praha 3","Vyšší odborná škola uměleckoprůmyslová a Střední uměleckoprůmyslová škola, Praha 3, Žižkovo náměstí 1",VOŠ uměleckoprůmyslová a SUPŠ,3100,Hlavní město Praha,Hlavní město Praha
651040370,,,,,,,,www.dinoskola.cz,"Bellova 352, Praha 10",Soukromé osmileté gymnázium DINO-HIGH SCHOOL s.r.o.,Soukr. osm. gymn. DINO-H. SCHOOL s.r.o.,3100,Hlavní město Praha,Hlavní město Praha
600005216,45.9,36.9,41.4,35.3,46.4,41.7,32.9,http://www.ssgh.cz,"Vrbova 1233, Praha 4",Střední škola gastronomická a hotelová s.r.o.,SŠ gastronomická a hotelová s.r.o.,3100,Hlavní město Praha,Hlavní město Praha
600005305,49.4,76.4,55.5,56.8,50.2,52.8,63.5,www.praha.educanet.cz,"Jírovcovo náměstí 1782, Praha 4","EDUCAnet - gymnázium, střední odborná škola a základní škola Praha, s.r.o.","EDUCAnet-gymn., SOŠ a ZŠ Praha, s.r.o.",3100,Hlavní město Praha,Hlavní město Praha
651015995,35.6,44.3,66.1,42.5,37.8,37.5,61.2,www.eduso.cz,"Stříbrského 2139, Praha 4","Střední odborná škola multimediální a propagační tvorby, s.r.o.",SOŠ multimediál. a propag. tvorby s.r.o.,3100,Hlavní město Praha,Hlavní město Praha
600005381,30.8,27.6,31.0,33.2,23.8,32.6,51.1,www.zelenypruh.cz,"Zelený pruh 50, Praha 4","Střední škola technická, Praha 4, Zelený pruh 1294",Střední škola technická,3100,Hlavní město Praha,Hlavní město Praha
600005054,61.9,37.6,65.1,66.6,72.1,80.4,69.5,www.gekom.cz,"Ohradní 55, Praha 4","Gymnázium Elišky Krásnohorské, Praha 4 - Michle, Ohradní 55",Gymnázium E.Krásnohorské,3100,Hlavní město Praha,Hlavní město Praha
600005259,28.8,26.0,20.3,21.9,56.7,36.4,67.6,www.ohradni.cz,"Ohradní 57, Praha 4","Střední odborné učiliště, Praha 4, Ohradní 57",Střední odborné učiliště,3100,Hlavní město Praha,Hlavní město Praha
600005186,20.6,29.2,38.9,26.9,3.0,34.4,28.8,www.ekonoma.cz,"Pertoldova 3373, Praha 4",EKONOMA - soukromá obchodní akademie s.r.o.,EKONOMA - soukromá OA s.r.o.,3100,Hlavní město Praha,Hlavní město Praha
600005411,31.2,42.3,18.5,38.0,22.4,31.6,54.7,www.soup-pisnice.cz,"Libušská 320, Praha 4","Střední odborné učiliště potravinářské, Praha 4 - Písnice, Libušská 320/111",SOU potravinářské,3100,Hlavní město Praha,Hlavní město Praha
600005429,32.7,48.8,47.6,36.9,19.3,44.6,43.5,www.eapraha.cz,"Hrusická 2537, Praha 4",Evangelická akademie - Vyšší odborná škola sociální práce a střední odborná škola,Evang.akad. - VOŠ sociální práce a SOŠ,3100,Hlavní město Praha,Hlavní město Praha
