red_izo,KODOK,NAZKR,NAZOK
600004589,3100,Hlavní město Praha,Hlavní město Praha
600004708,3100,Hlavní město Praha,Hlavní město Praha
600005615,3100,Hlavní město Praha,Hlavní město Praha
600004686,3100,Hlavní město Praha,Hlavní město Praha
651037026,3100,Hlavní město Praha,Hlavní město Praha
600020711,3100,Hlavní město Praha,Hlavní město Praha
600004546,3100,Hlavní město Praha,Hlavní město Praha
600004635,3100,Hlavní město Praha,Hlavní město Praha
600004694,3100,Hlavní město Praha,Hlavní město Praha
600020738,3100,Hlavní město Praha,Hlavní město Praha
600004597,3100,Hlavní město Praha,Hlavní město Praha
600004678,3100,Hlavní město Praha,Hlavní město Praha
600004520,3100,Hlavní město Praha,Hlavní město Praha
600004554,3100,Hlavní město Praha,Hlavní město Praha
600020746,3100,Hlavní město Praha,Hlavní město Praha
600004643,3100,Hlavní město Praha,Hlavní město Praha
600020151,3100,Hlavní město Praha,Hlavní město Praha
600004562,3100,Hlavní město Praha,Hlavní město Praha
600004619,3100,Hlavní město Praha,Hlavní město Praha
600004627,3100,Hlavní město Praha,Hlavní město Praha
600020665,3100,Hlavní město Praha,Hlavní město Praha
600020720,3100,Hlavní město Praha,Hlavní město Praha
600004791,3100,Hlavní město Praha,Hlavní město Praha
600019454,3100,Hlavní město Praha,Hlavní město Praha
600004759,3100,Hlavní město Praha,Hlavní město Praha
600004830,3100,Hlavní město Praha,Hlavní město Praha
600020797,3100,Hlavní město Praha,Hlavní město Praha
651027349,3100,Hlavní město Praha,Hlavní město Praha
600004724,3100,Hlavní město Praha,Hlavní město Praha
600027341,3100,Hlavní město Praha,Hlavní město Praha
610380061,3100,Hlavní město Praha,Hlavní město Praha
600004813,3100,Hlavní město Praha,Hlavní město Praha
600004775,3100,Hlavní město Praha,Hlavní město Praha
600020827,3100,Hlavní město Praha,Hlavní město Praha
600004902,3100,Hlavní město Praha,Hlavní město Praha
600004864,3100,Hlavní město Praha,Hlavní město Praha
600005321,3100,Hlavní město Praha,Hlavní město Praha
600004783,3100,Hlavní město Praha,Hlavní město Praha
600004848,3100,Hlavní město Praha,Hlavní město Praha
600004856,3100,Hlavní město Praha,Hlavní město Praha
600020789,3100,Hlavní město Praha,Hlavní město Praha
600020819,3100,Hlavní město Praha,Hlavní město Praha
600006425,3100,Hlavní město Praha,Hlavní město Praha
600004996,3100,Hlavní město Praha,Hlavní město Praha
600001873,3100,Hlavní město Praha,Hlavní město Praha
600004911,3100,Hlavní město Praha,Hlavní město Praha
600004961,3100,Hlavní město Praha,Hlavní město Praha
600004929,3100,Hlavní město Praha,Hlavní město Praha
600005941,3100,Hlavní město Praha,Hlavní město Praha
600005003,3100,Hlavní město Praha,Hlavní město Praha
600004970,3100,Hlavní město Praha,Hlavní město Praha
600004945,3100,Hlavní město Praha,Hlavní město Praha
651040370,3100,Hlavní město Praha,Hlavní město Praha
600005216,3100,Hlavní město Praha,Hlavní město Praha
600005305,3100,Hlavní město Praha,Hlavní město Praha
651015995,3100,Hlavní město Praha,Hlavní město Praha
600005381,3100,Hlavní město Praha,Hlavní město Praha
600005054,3100,Hlavní město Praha,Hlavní město Praha
600005259,3100,Hlavní město Praha,Hlavní město Praha
600005186,3100,Hlavní město Praha,Hlavní město Praha
600005411,3100,Hlavní město Praha,Hlavní město Praha
600005429,3100,Hlavní město Praha,Hlavní město Praha
600005178,3100,Hlavní město Praha,Hlavní město Praha
600004821,3100,Hlavní město Praha,Hlavní město Praha
691000468,3100,Hlavní město Praha,Hlavní město Praha
600005208,3100,Hlavní město Praha,Hlavní město Praha
600005046,3100,Hlavní město Praha,Hlavní město Praha
600005089,3100,Hlavní město Praha,Hlavní město Praha
600005143,3100,Hlavní město Praha,Hlavní město Praha
600005348,3100,Hlavní město Praha,Hlavní město Praha
600005267,3100,Hlavní město Praha,Hlavní město Praha
600005364,3100,Hlavní město Praha,Hlavní město Praha
600005151,3100,Hlavní město Praha,Hlavní město Praha
600005453,3100,Hlavní město Praha,Hlavní město Praha
600005241,3100,Hlavní město Praha,Hlavní město Praha
650008791,3100,Hlavní město Praha,Hlavní město Praha
600005445,3100,Hlavní město Praha,Hlavní město Praha
600005071,3100,Hlavní město Praha,Hlavní město Praha
600020959,3100,Hlavní město Praha,Hlavní město Praha
600005461,3100,Hlavní město Praha,Hlavní město Praha
651036101,3100,Hlavní město Praha,Hlavní město Praha
650075684,3100,Hlavní město Praha,Hlavní město Praha
