red_izo;adresa
600004589;Hellichova 3, Praha 1, Czech Republic
600004708;Štěpánská 22, Praha 1, Czech Republic
600005615;Senovážné nám. 23, Praha 1, Czech Republic
600004686;Betlémská 4, Praha 1, Czech Republic
651037026;Rytířská 406, Praha 1, Czech Republic
600020711;Platnéřská 4, Praha 1, Czech Republic
600004546;Truhlářská 22, Praha 1, Czech Republic
600004635;Pštrossova 13, Praha 1, Czech Republic
600004694;Jindřišská  36, Praha 1, Czech Republic
600020738;Maltézské nám. 14, Praha 1, Czech Republic
600004597;Josefská 7, Praha 1, Czech Republic
600004678;Křemencova 12, Praha 1, Czech Republic
600004520;Dušní 7, Praha 1, Czech Republic
600004554;Panská 3, Praha 1, Czech Republic
600020746;Loretánská 19 a 17, Praha 1, Czech Republic
600004643;Masná 18, Praha 1, Czech Republic
600020151;Na Příkopě 16, Praha 1, Czech Republic
600004562;Hellichova 22, Praha 1, Czech Republic
600004619;Dušní 17, Praha 1, Czech Republic
600004627;U Půjčovny 9, Praha 1, Czech Republic
600020665;Alšovo nábřeží 6, Praha 1, Czech Republic
600020720;Josefská 4, Praha 1, Czech Republic
600004791;Korunní 2, Praha 2, Czech Republic
600019454;Ječná 33, Praha 2, Czech Republic
600004759;Resslova 8, Praha 2, Czech Republic
600004830;Resslova 5, Praha 2, Czech Republic
600020797;Ječná 27, Praha 2, Czech Republic
651027349;Sázavská 830, Praha 2, Czech Republic
600004724;Botičská 1, Praha 2, Czech Republic
600027341;V Pevnosti 4, Praha 2, Czech Republic
610380061;Belgická 25, Praha 2, Czech Republic
600004813;Ječná 30, Praha 2, Czech Republic
600004775;Vinohradská 38, Praha 2, Czech Republic
600020827;Vratislavova 6, Praha 2, Czech Republic
600004902;Ječná 33, Praha 2, Czech Republic
600004864;Belgická 29, Praha 2, Czech Republic
600005321;Korunní 586, Praha 2, Czech Republic
600004783;Ječná 30, Praha 2, Czech Republic
600004848;Vinohradská 38, Praha 2, Czech Republic
600004856;Podskalská 10, Praha 2, Czech Republic
600020789;Vinohradská 54, Praha 2, Czech Republic
600020819;Chelčického 911, Praha 3, Czech Republic
600006425;Žerotínova 1100, Praha 3, Czech Republic
600004996;Vlkova 12, Praha 3, Czech Republic
600001873;Komenského náměstí 400, Praha 3, Czech Republic
600004911;Sladkovského náměstí 8, Praha 3, Czech Republic
600004961;Nad Ohradou 2825, Praha 3, Czech Republic
600004929;Kubelíkova  37, Praha 3, Czech Republic
600005941;U Vinohradského hřbitova 3, Praha 3, Czech Republic
600005003;K Lučinám 2500, Praha 3, Czech Republic
600004970;Hollarovo náměstí 2, Praha 3, Czech Republic
600004945;Žižkovo náměstí 1, Praha 3, Czech Republic
651040370;Bellova 352, Praha 10, Czech Republic
600005216;Vrbova 1233, Praha 4, Czech Republic
600005305;Jírovcovo náměstí 1782, Praha 4, Czech Republic
