red_izo;lat;lng
600004589;50.084311;14.4052591
600004708;50.0783988;14.4257516
600005615;50.0855302;14.431648
600004686;50.0835111;14.4147362
651037026;50.0842765;14.421541
600020711;50.0873381;14.4144205
600004546;50.0909039;14.4312839
600004635;50.0783415;14.4157477
600004694;50.084567;14.430947
600020738;50.0858977;14.4055038
600004597;50.0882382;14.4053776
600004678;50.0789236;14.4171749
600004520;50.0896232;14.4208019
600004554;50.084816;14.4268314
600020746;50.0882613;14.3922937
600004643;50.0895903;14.4253159
600020151;50.085681;14.4260448
600004562;50.0844675;14.4028961
600004619;50.0913889;14.4201916
600004627;50.0844981;14.4316636
600020665;50.0880938;14.4142956
600020720;50.0880772;14.4056095
600004791;50.0752246;14.438136
600019454;50.0756981;14.4265775
600004759;50.0756473;14.4166572
600004830;50.0758286;14.415959
600020797;50.0757325;14.4253115
651027349;50.0743638;14.440386
600004724;50.0690479;14.4184719
600027341;50.0626382;14.4226286
610380061;50.0732172;14.435745
600004813;50.0754401;14.4261258
600004775;50.0773746;14.4388677
600020827;50.0669336;14.417235
600004902;50.0756981;14.4265775
600004864;50.0736688;14.4356555
600005321;50.0752246;14.438136
600004783;50.0754401;14.4261258
600004848;50.0773746;14.4388677
600004856;50.0696611;14.4156139
600020789;50.0768865;14.4433841
600020819;50.0838928;14.4539593
600006425;50.0877546;14.4623137
600004996;50.0830373;14.4452408
600001873;50.0863686;14.457094
600004911;50.0838356;14.4503983
600004961;50.0925305;14.475557
600004929;50.0823759;14.4508593
600005941;50.0766486;14.4782745
600005003;50.0936543;14.4906056
600004970;50.0770592;14.4773959
600004945;50.0816052;14.455553
651040370;50.0348645;14.5604584
600005216;50.0316673;14.4257355
600005305;50.0236317;14.4920987
651015995;50.0273822;14.5284746
600005381;50.0386883;14.4238193
600005054;50.0523947;14.4549695
600005259;50.0524548;14.4557207
600005186;50.0001578;14.4242313
600005411;50.008751;14.4622194
600005429;50.0480592;14.486774
600005178;50.0242042;14.5212909
600004821;50.0639461;14.4337513
691000468;50.0394994;14.4327179
600005208;50.0279834;14.5216488
600005046;50.0189303;14.446652
600005089;50.0451037;14.4926562
600005143;50.0623113;14.4349098
600005348;50.0434013;14.4528268
600005267;50.0088516;14.4250624
600005364;50.0325463;14.5131134
600005151;50.0619597;14.4426095
600005453;50.0248144;14.4391697
600005241;50.0574721;14.4215491
650008791;50.0394994;14.4327179
600005445;50.0248144;14.4391697
600005071;50.0543308;14.446792
600020959;50.0274914;14.4574771
600005461;50.0084707;14.4498767
651036101;50.0602014;14.4412557
650075684;50.0260448;14.5156557
600005275;50.0367352;14.5189054
600005356;50.0846531;14.4510333
600005291;50.0619597;14.4426095
600005399;50.0455485;14.4308005
600005402;50.0529269;14.452851
600019462;50.0596432;14.4329345
600020916;50.0319429;14.5264682
600021327;50.0260448;14.5156557
651028922;50.0730223;14.3559588
600004872;50.0722025;14.3946171
600005585;49.9865081;14.3566571
600005518;50.0804004;14.4068434
600005666;50.0505692;14.3129216
600005569;50.0114222;14.3928478
600171418;50.0482646;14.3562726
600005534;50.052373;14.3439089
691000212;50.0505692;14.3129216
600005500;49.9806397;14.3591594
600005496;50.0709183;14.3993033
600005623;50.0680704;14.3729875
600005631;50.0482646;14.3562726
650004639;50.0556074;14.3541417
600005542;50.0753579;14.4058929
600005674;50.0756183;14.4019255
600005640;50.0482179;14.4067721
600021050;50.0567584;14.3929978
600171426;50.0760565;14.3982226
600005658;50.0677467;14.329778
650065115;50.0677545;14.4020501
691001111;50.0759517;14.329784
600021106;50.1048449;14.4033007
600005810;50.0960568;14.293724
600005593;50.0700853;14.3078529
600006158;50.0665412;14.3142588
600005691;50.0879685;14.3863912
600005682;50.0997989;14.3599337
600005771;50.0856634;14.3429558
600005721;50.1045168;14.4083718
600005747;50.0906682;14.3041618
600005828;50.1095365;14.393734
600005844;50.0999529;14.3870304
600005984;50.0991189;14.4349903
600006409;50.1209498;14.4132515
651040744;50.1261804;14.4027259
600005895;50.1173454;14.4229085
600171701;50.0974831;14.422026
600170012;50.1075339;14.4406079
600005551;50.1066358;14.4530096
600005861;50.1075339;14.4406079
600005950;50.1284869;14.4110487
600006034;50.1284869;14.4110487
600006077;50.0906987;14.4457865
650025563;50.0904209;14.4500518
600005101;50.0910638;14.4476264
600006051;50.1281931;14.4432315
600006018;50.1122416;14.4729675
600006085;50.1148275;14.4493646
600005933;50.1075932;14.4709695
600005992;50.1310431;14.4215787
600005976;50.0905636;14.4493061
600005968;50.0900724;14.448474
600021181;50.1318635;14.4753564
600006042;50.1183678;14.4506733
600006000;50.1269663;14.4204544
600006310;50.0904209;14.4500518
600006026;50.1284869;14.4110487
600170021;50.1246308;14.4595769
610380273;50.1318635;14.4753564
610380109;50.124067;14.4827029
600006301;50.1051274;14.5502833
600006433;50.1477842;14.5282374
600021211;50.0924853;14.5165158
600005798;50.0924853;14.5165158
600006298;50.0978649;14.6707032
600006239;50.1191099;14.4918877
600006255;50.1256938;14.5716869
600006140;50.110446;14.5000363
600006174;50.1006264;14.4937985
600006131;50.1508815;14.5245488
600006107;50.1010482;14.4906471
600006115;50.1263749;14.4992552
600006166;50.1128025;14.6180697
600006247;50.1189389;14.486783
600006352;50.1092937;14.5039371
600005836;50.1256938;14.5716869
600170071;50.0918104;14.5007041
600170047;50.1133093;14.6120237
600006280;50.0918104;14.5007041
600006379;50.1034687;14.5134152
600006387;50.1095219;14.5565582
600006328;50.0924853;14.5165158
600006450;50.1063111;14.5475237
600006441;50.1047819;14.5591976
600006123;50.0913913;14.5133801
600170063;50.1022073;14.5048663
600006654;50.1369932;14.5158724
600006263;50.1004752;14.4862757
600170039;50.1246898;14.5021936
600027686;50.1180495;14.5052903
600006476;50.0499927;14.5223678
600021360;50.083798;14.4968544
600005160;50.0345176;14.5596328
600006603;50.0693027;14.4967111
600006620;50.0695029;14.4978529
600006549;50.0825657;14.4984903
600006531;50.0517201;14.5248644
600006646;50.0722728;14.4774547
600171710;50.0652525;14.4594168
600004741;50.0672305;14.4590719
600006573;50.0706523;14.4518422
600006581;50.0842474;14.4942893
600006514;50.0796027;14.5030421
600170080;50.0525726;14.5409755
600006638;50.0590122;14.4863571
600006662;50.0517467;14.5312487
600006565;50.0845051;14.4927541
600019471;50.0737588;14.4788812
600006786;49.7795217;14.6875307
600006671;49.7799436;14.6874411
600170098;49.7748417;14.6960745
600006727;49.7748417;14.6960745
600006735;49.7789373;14.6796468
600006794;49.7777991;14.6864672
600019489;49.7861918;14.6791686
600006689;49.7848591;14.682948
600042260;49.7803813;14.6742925
600006778;49.7565989;14.533284
600006751;49.7032368;14.9006952
600006701;49.6961715;14.8933836
600006760;49.7074007;14.8950335
600006697;49.7054992;14.8973646
600006859;49.9650086;14.0638231
651027888;49.9613418;14.0699966
650004311;49.9613418;14.0699966
600006808;49.9692883;14.0695706
600006832;49.9613127;14.074752
600019497;49.954328;14.0502996
600021491;49.9569075;14.0483989
600006816;49.8353501;13.9067432
600006841;49.8366182;13.9021422
600170128;50.1565438;14.1297463
600006930;50.1283929;14.1209994
600007162;50.1358285;14.1339079
651036020;50.1374385;14.1025086
600021661;50.1633766;14.1492924
600006972;50.1427926;14.0983639
600007065;50.1420032;14.0952127
600007073;50.1342947;14.1145666
600171728;50.1346006;14.0973451
600006905;50.1433718;14.0938072
600006964;50.1403621;14.1008641
600020207;50.1463591;14.1012478
600019519;50.1465333;14.0982726
600006913;50.2333796;14.0844568
600170110;50.2335347;14.0866294
600006921;50.2326821;14.0841192
600021637;50.1457015;13.9528162
600007022;50.1479265;13.9588755
691004927;50.2588016;14.0040454
600007057;50.2812498;14.2391214
651036062;50.1751632;14.0927374
600007138;50.0757954;14.8796279
600007120;50.0747298;14.8551703
600021670;50.0740069;14.8537373
600019527;50.0271785;15.200044
600170136;50.0289333;15.1927882
600007154;50.0246669;15.2001988
600007081;50.0219842;15.1980254
600007090;50.0269115;15.2046888
600007146;50.0231021;15.2100673
600007189;50.0217845;15.207763
600007171;50.0245982;15.2061011
600021742;50.0265522;15.2053793
600170144;50.0078495;15.2304988
610450671;50.0337149;15.2137718
600007243;49.9124896;15.3923549
600007260;49.9169574;15.3862052
600007201;49.9103682;15.3925767
600007278;49.902491;15.3934717
600007251;49.9081433;15.3961921
600021807;49.9081256;15.3905177
600007197;49.9524314;15.2686536
600007219;49.9430071;15.258127
600007294;49.9482808;15.2750689
600007286;49.9534458;15.2753101
600021785;49.9505701;15.2722145
600007332;50.2397637;14.3014359
600007359;50.2516131;14.3151061
600007391;50.4188146;14.4587426
600007383;50.3456384;14.4813216
600007316;50.3531464;14.4792339
600170161;50.3397078;14.4945573
600019535;50.3518999;14.4765544
600007375;50.3483097;14.4813513
691002037;50.2486395;14.5355833
600007308;50.2604047;14.5188122
610450620;50.255891;14.5196212
600007511;50.3274502;14.8569589
600007537;50.562392;15.0374796
600007502;50.4161099;14.9064601
600007413;50.4151366;14.9057756
600170179;50.4152486;14.9036011
600007529;50.4115886;14.9143846
610451049;50.4094972;14.9318127
600007464;50.4113904;14.9122084
600007472;50.4176305;14.9097102
650075277;50.4262495;14.9048729
600007499;50.4112418;14.917934
600007481;50.4112418;14.917934
600007448;50.4156573;14.9048475
600019543;50.4176305;14.9097102
