red_izo;lat;lng
600015572;49.0287965;17.4693211
650008006;49.0375279;17.4423826
600015556;49.0804926;17.4383136
600015467;49.0710209;17.4609994
600015513;49.0670819;17.4591937
600015505;49.0647275;17.4479646
600015459;49.0664039;17.4623875
600015611;49.0688155;17.4799369
600015581;49.0664095;17.449265
600015475;49.0684189;17.4654735
600015530;49.0231882;17.6449428
600015483;49.0267792;17.6395467
600015548;49.0027618;17.6506157
600171132;49.0207984;17.6437775
600027236;49.4784409;17.8153409
600018211;49.4664132;18.1290062
600018181;49.4730702;18.1606474
600018156;49.464024;18.1276371
600018202;49.4611631;18.138964
600018148;49.4702174;17.968885
600171400;49.4629687;17.9681324
600027210;49.4372077;17.9866862
600018270;49.4760298;17.9716778
600018164;49.4687836;17.9759237
600018296;49.4369822;17.9660718
600018113;49.3384132;17.9957721
600018253;49.3385422;17.983293
600018245;49.3356183;18.0013414
600018199;49.3345287;18.0017057
600171078;49.0958664;17.747677
600014312;49.2172502;17.5122937
600014495;49.2243937;17.5120367
