red_izo;adresa
651018048;Skalsko 1, Czech Republic
600007880;Hluboš 178, Czech Republic
600027970;Obořiště 1, Czech Republic
650002733;Místo 66, Czech Republic
600012361;Kladruby nad Labem 105, Czech Republic
691002584;Obrataň 148, Czech Republic
600171035;Sokolnice 496, Czech Republic
651039428;Sedlec 101, Czech Republic
600014223;Sedlec u Mikulova 101, Czech Republic
600027287;Lipová - lázně 458, Czech Republic
600026655;Velký Újezd 321, Czech Republic
650067231;Velehrad č. 1, Czech Republic
600016633;Petrovice u Karviné 570, Czech Republic
600016625;Petrovice u Karviné 570, Czech Republic
600017397;Vítkov - Podhradí 2066, Czech Republic
